Country	instance_count
Brazil	24
Paraguay	24
India	23
Vietnam	16
Bangladesh	15
Burma	14
Philippines	13
Uganda	13
Mexico	12
Cambodia	12
China	12
Argentina	11
Turkey	10
Bolivia	10
Kenya	9
Pakistan	9
Tanzania	8
Colombia	8
El Salvador	7
North Korea	7
Democratic Republic of the Congo	7
Nicaragua	7
Peru	7
Indonesia	7
Guatemala	6
Nigeria	6
Sierra Leone	5
Niger	5
Dominican Republic	5
Afghanistan	5
Zambia	5
Guinea	5
Thailand	5
Ecuador	4
Nepal	4
Ghana	4
Belize	3
Burkina Faso	3
Honduras	3
Mongolia	3
Egypt	3
Ethiopia	3
Madagascar	3
Mali	3
Russia	3
Ukraine	3
Malaysia	3
Costa Rica	2
Lebanon	2
Benin	2
Cote d'Ivoire	2
Iran	2
Kyrgyz Republic	2
Panama	2
Uzbekistan	2
Mauritania	2
Malawi	2
Liberia	2
Tajikistan	1
Lesotho	1
Suriname	1
Angola	1
Mozambique	1
Kazakhstan	1
Eswatini	1
Sudan	1
Chad	1
Azerbaijan	1
South Sudan	1
Cameroon	1
Namibia	1
Senegal	1
Yemen	1
Central African Republic	1
India 	1
Turkmenistan	1
Rwanda	1
