num,country,good,child_labor,forced_labor
0,Afghanistan,Bricks,X,X
1,Afghanistan,Carpets,X,
2,Afghanistan,Coal,X,
3,Afghanistan,Poppies,X,
4,Afghanistan,Salt,X,
5,Angola,Diamonds,X,X
6,Argentina,Blueberries,X,
7,Argentina,Bricks,X,
8,Argentina,Cotton,X,
9,Argentina,Garlic,X,
10,Argentina,Garments,X,X
11,Argentina,Grapes,X,
12,Argentina,Olives,X,
13,Argentina,Strawberries,X,
14,Argentina,Tobacco,X,
15,Argentina,Tomatoes,X,
16,Argentina,Yerba Mate (stimulant plant),X,
17,Azerbaijan,Cotton,X,
18,Bangladesh,Bidis (hand-rolled cigarettes),X,
19,Bangladesh,Bricks,X,
20,Bangladesh,Dried Fish,X,X
21,Bangladesh,Footwear,X,
22,Bangladesh,Furniture (steel),X,
23,Bangladesh,Garments ,X,
24,Bangladesh,Glass,X,
25,Bangladesh,Leather,X,
26,Bangladesh,Matches,X,
27,Bangladesh,Poultry,X,
28,Bangladesh,Salt,X,
29,Bangladesh,Shrimp,X,
30,Bangladesh,Soap,X,
31,Bangladesh,Textiles,X,
32,Bangladesh,Textiles (jute),X,
33,Belize,Bananas,X,
34,Belize,Citrus Fruits,X,
35,Belize,Sugarcane,X,
36,Benin,Cotton,X,X
37,Benin,Granite (crushed),X,
38,Bolivia,Brazil Nuts/Chestnuts,X,X
39,Bolivia,Bricks,X,
40,Bolivia,Cattle,,X
41,Bolivia,Corn,X,X
42,Bolivia,Gold,X,
43,Bolivia,Peanuts,,X
44,Bolivia,Silver,X,
45,Bolivia,Sugarcane,X,X
46,Bolivia,Tin,X,
47,Bolivia,Zinc,X,
48,Brazil,Bananas,X,
49,Brazil,Beef,X,
50,Brazil,Bricks,X,
51,Brazil,Cashews,X,
52,Brazil,Cattle,X,X
53,Brazil,Ceramics,X,
54,Brazil,Charcoal,X,X
55,Brazil,Cocoa,X,
56,Brazil,Coffee,X,
57,Brazil,Corn,X,
58,Brazil,Cotton,X,
59,Brazil,Fish,X,
60,Brazil,Footwear,X,
61,Brazil,Garments,,X
62,Brazil,Hogs,X,
63,Brazil,Manioc/Cassava,X,
64,Brazil,Pineapples,X,
65,Brazil,Poultry,X,
66,Brazil,Rice,X,
67,Brazil,Sheep,X,
68,Brazil,Sisal,X,
69,Brazil,Sugarcane,X,X
70,Brazil,Timber,,X
71,Brazil,Tobacco,X,
72,Burkina Faso,Cotton,X,X
73,Burkina Faso,Gold,X,X
74,Burkina Faso,Granite,X,
75,Burma,Bamboo,X,X
76,Burma,"Beans (green, soy, yellow)",X,X
77,Burma,Bricks,X,X
78,Burma,Garments,X,
79,Burma,Jade,X,X
80,Burma,Palm Thatch,,X
81,Burma,Rice,X,X
82,Burma,Rubber,X,X
83,Burma,Rubies,X,X
84,Burma,Sesame,,X
85,Burma,Shrimp,,X
86,Burma,Sugarcane,X,X
87,Burma,Sunflowers,,X
88,Burma,Teak,X,X
89,Cambodia,Alcoholic Beverages,X,
90,Cambodia,Bricks,X,
91,Cambodia,Fish,X,
92,Cambodia,Manioc/Cassava,X,
93,Cambodia,Meat,X,
94,Cambodia,Rubber,X,
95,Cambodia,Salt,X,
96,Cambodia,Shrimp,X,
97,Cambodia,Sugarcane,X,
98,Cambodia,Textiles,X,
99,Cambodia,Timber,X,
100,Cambodia,Tobacco,X,
101,Cameroon,Cocoa,X,
102,Central African Republic,Diamonds,X,
103,Chad,Cattle,X,
104,China,Artificial Flowers,,X
105,China,Bricks,X,X
106,China,Christmas Decorations,,X
107,China,Coal,,X
108,China,Cotton,X,X
109,China,Electronics,X,X
110,China,Fireworks,X,X
111,China,Footwear,,X
112,China,Garments,,X
113,China,Nails,,X
114,China,Textiles,X,
115,China,Toys,X,X
116,Colombia,Bricks (clay),X,
117,Colombia,Coal,X,
118,Colombia,Coca (stimulant plant),X,X
119,Colombia,Coffee,X,
120,Colombia,Emeralds,X,
121,Colombia,Gold,X,
122,Colombia,Pornography,X,
123,Colombia,Sugarcane,X,
124,Costa Rica,Cattle,X,
125,Costa Rica,Coffee,X,
126,Cote d'Ivoire,Cocoa,X,X
127,Cote d'Ivoire,Coffee,X,X
128,Democratic Republic of the Congo,Cobalt ore (heterogenite),X,
129,Democratic Republic of the Congo,Copper,X,
130,Democratic Republic of the Congo,Diamonds,X,
131,Democratic Republic of the Congo,Gold,X,X
132,Democratic Republic of the Congo,Tantalum ore (coltan),X,X
133,Democratic Republic of the Congo,Tin ore (cassiterite),X,X
134,Democratic Republic of the Congo,Tungsten ore (wolframite),X,X
135,Dominican Republic,Baked Goods,X,
136,Dominican Republic,Coffee,X,
137,Dominican Republic,Rice,X,
138,Dominican Republic,Sugarcane,X,X
139,Dominican Republic,Tomatoes,X,
140,Ecuador,Bananas,X,
141,Ecuador,Bricks,X,
142,Ecuador,Flowers,X,
143,Ecuador,Gold,X,
144,Egypt,Bricks,X,
145,Egypt,Cotton,X,
146,Egypt,Stones (limestone),X,
147,El Salvador,Baked Goods,X,
148,El Salvador,Cattle,X,
149,El Salvador,Cereal Grains,X,
150,El Salvador,Coffee,X,
151,El Salvador,Fireworks,X,
152,El Salvador,Shellfish,X,
153,El Salvador,Sugarcane,X,
154,Eswatini,Bovines,X,
155,Ethiopia,Cattle,X,
156,Ethiopia,Gold,X,
157,Ethiopia,Textiles (hand-woven),X,X
158,Ghana,Cocoa,X,
159,Ghana,Fish,X,X
160,Ghana,Gold,X,
161,Ghana,Tilapia (fish),X,X
162,Guatemala,Broccoli,X,
163,Guatemala,Coffee,X,
164,Guatemala,Corn,X,
165,Guatemala,Fireworks,X,
166,Guatemala,Gravel (crushed stones),X,
167,Guatemala,Sugarcane,X,
168,Guinea,Cashews,X,
169,Guinea,Cocoa,X,
170,Guinea,Coffee,X,
171,Guinea,Diamonds,X,
172,Guinea,Gold,X,
173,Honduras,Coffee,X,
174,Honduras,Lobsters,X,
175,Honduras,Melons,X,
176,India,Bidis (hand-rolled cigarettes),X,
177,India,Brassware,X,
178,India,Bricks,X,X
179,India,Carpets,X,X
180,India,Cottonseed (hybrid),X,X
181,India,Embellished Textiles,X,X
182,India,Fireworks,X,
183,India,Footwear,X,
184,India,Garments,X,X
185,India,Gems,X,
186,India,Glass Bangles,X,
187,India,Incense (agarbatti),X,
188,India,Leather Goods/Accessories,X,
189,India,Locks,X,
190,India,Matches,X,
191,India,Mica,X,
192,India,Rice,X,X
193,India,Silk Fabric,X,
194,India,Silk Thread,X,
195,India,Soccer Balls,X,
196,India,Stones,X,X
197,India,Sugarcane,X,
198,India,Thread/Yarn,X,
199,India,Cotton,X,
200,Indonesia,Fish,X,X
201,Indonesia,Footwear (sandals),X,
202,Indonesia,Gold,X,
203,Indonesia,Oil (palm),X,
204,Indonesia,Rubber,X,
205,Indonesia,Tin,X,
206,Indonesia,Tobacco,X,
207,Iran,Bricks,X,
208,Iran,Carpets,X,
209,Kazakhstan,Cotton,X,X
210,Kenya,Coffee,X,
211,Kenya,Fish,X,
212,Kenya,Miraa (stimulant plant),X,
213,Kenya,Rice,X,
214,Kenya,Sand,X,
215,Kenya,Sisal,X,
216,Kenya,Sugarcane,X,
217,Kenya,Tea,X,
218,Kenya,Tobacco,X,
219,Kyrgyz Republic,Cotton,X,
220,Kyrgyz Republic,Tobacco,X,
221,Lebanon,Potatoes,X,
222,Lebanon,Tobacco,X,
223,Lesotho,Cattle,X,
224,Liberia,Diamonds,X,
225,Liberia,Rubber,X,
