guid	document	keywords
tag:reuters.com,2019:newsml_L3N27I00W	"Nov 2 (Reuters) - Vietnam said on Saturday that human traffickers must be strictly dealt with as the Southeast Asian country was informed that several of its citizens were among the 39 people who died in a truck container in Britain last week. ""The Vietnamese embassy in Britain was informed by Essex police that there are Vietnamese citizens, unidentified, among 39 victims in the lorry incident,"" Foreign Ministry spokeswoman Le Thi Thu Hang said in a statement posted on its website. ""Vietnam strongly condemns human trafficking and considers it a serious crime; traffickers must be strictly dealt with,"" Hang said in the Saturday statement. British police said on Friday they now believe all 39 people found dead in the back of a truck in Essex near London on Oct.23 were Vietnamese. Police in Vietnam arrested two people and summoned others for questioning on Friday on suspicion of involvement in the truck deaths. Hang said in the statement that Vietnam was working closely with British police to verify victims' identities and called on other countries to cooperate in combating human trafficking crimes. ""This is a humanitarian tragedy,"" Hang said. ""We are deeply saddened and we would like to share our deepest condolences to the families of the victims and wish them to overcome this great pain and loss soon."" (Reporting by Phuong Nguyen; Editing by Sandra Maler)"	hang: 0.3392744480510825; vietnam: 0.20795724304792038; inform: 0.20068725524251335; strictly: 0.19214322260490854; vietnamese: 0.18160003019875473; among_39: 0.16963722402554124; police: 0.16554138601760557; pron: 0.15762967141996906; 39: 0.15483058621701468; truck: 0.15049387792397398
tag:reuters.com,2019:newsml_L8N27H5Q0	SAO PAULO, Nov 1 (Reuters) - Brazilian federal police said they have arrested Saifullah Al-Mamun, born in Bangladesh and considered by authorities one of the world's most prolific human traffickers. In an operation conducted on Thursday after collaboration with U.S. Immigration and Customs Enforcement (ICE), Brazilian police arrested members of a group allegedly implicated in a large scheme of smuggling people into the United States. Several arrests were made in Sao Paulo, where Al-Mamun was living, and in three other Brazilian cities. The police also froze 42 bank accounts it says were used by the group to finance their activities. Al-Mamun entered Brazil six years ago as a refugee, and was living in Bras, a diverse neighborhood in Sao Paulo that is home to immigrants from around the world. He has been indicted on U.S. charges. According to the United States Department of Justice, Al-Mamun is alleged to have housed people coming from Southeast Asia in São Paulo and arranged for their travel through a network of smugglers operating in Peru, Ecuador, Colombia, Panama, Costa Rica, Nicaragua, Honduras, Guatemala and Mexico. According to Brazilian police, he and his group were smuggling into Brazil, and then to the United States, people from Afghanistan, Bangladesh, India, Nepal and Pakistan. They were sent to Brazil's northern Acre state to start a long and dangerous trip through Central America all the way to the Mexican border, to cross into the United States. Reuters was not able to confirm whether Al-Mamun had a lawyer in Sao Paulo who could be contacted for comment. Brazilian police said the group charged people coming from Asia around 50,000 reais ($12,524) for the attempt to reach the United States. Some would also stay illegally in Brazil, where they were given fraudulent documentation. Police said people suffered violence while waiting in Sao Paulo to start the trip north. It said a group of eight Bengali people fell into the hands of a Mexican drug cartel while traveling toward the Mexico-U.S. border. ($1 = 3.9924 reais) (Reporting by Marcelo Teixeira in Sao Paulo Editing by Matthew Lewis)	paulo: 0.3725027410236191; sao_paulo: 0.3422351379436669; sao: 0.3422351379436669; mamun: 0.33727105070940244; brazilian: 0.26607338644544215; brazil: 0.16745958916830156; al: 0.16561272236936586; police: 0.14742669117092697; reai: 0.134908420283761; states: 0.12762277127497076
tag:reuters.com,2019:newsml_KBN1XB3XS	"By Amanda Ferguson BELFAST (Reuters) - A second man was charged with manslaughter over the deaths of 39 people found in the back of a truck near London, British police said on Friday, as they confirmed they now believe all the victims were Vietnamese.  In Vietnam, police said they had detained two people.  The discovery of the bodies in a container on an industrial estate has shone a spotlight on the illicit trade that sends the poor of Asia, Africa and the Middle East on perilous journeys to the West. The alleged truck driver has already been charged over the deaths, and on Friday detectives said Eamon Harrison, 23, from Northern Ireland, was also accused of 39 counts of manslaughter as well as human trafficking and immigration offences. Harrison appeared at Dublin's High Court at the start of proceedings to extradite him from Ireland to Britain. He was remanded in custody until Nov. 11, a court spokesman said. The bodies were found in the early hours of Oct. 23 after the container arrived in Britain from Zeebrugge in Belgium. The container was picked up at Purfleet dock in Essex, east of London, by a truck allegedly driven by Maurice Robinson, 25, from Northern Ireland. The victims were found not long afterwards. Police have not confirmed the exact cause of their deaths. They initially said the victims were thought to be Chinese, but on Friday evening they said they were now all believed to Vietnamese. ""We are in direct contact with a number of families in Vietnam and the UK, and we believe we have identified families for some of the victims,"" Essex police Assistant Chief Constable Tim Smith said on Twitter.  ARRESTS IN VIETNAM Vietnamese police said they had arrested two people and summoned others for questioning on Friday after opening a criminal investigation into suspected human trafficking. British police also appealed on Friday to Ronan Hughes, 40, and his brother Christopher, 34, from Armagh in Northern Ireland, who they said were crucial to their inquiries. They are wanted on suspicion of manslaughter and human trafficking. Daniel Stoten, the officer leading the investigation, said police had spoken by telephone to Ronan Hughes recently but needed to question the brothers in person.  ""Today I want to make a direct appeal. Ronan and Christopher, hand yourselves in,"" Detective Chief Inspector Stoten said.  Lawyers for Global Trailer Rentals, the owner of the trailer, have said Ronan Hughes signed the papers to rent the container, giving an address matching the haulier, C Hughes Transport. Christopher Hughes is listed as a director of C Hughes Logistics Ltd, based in Armagh.   (Additional reporting by Conor Humphries and Graham Fahy in Dublin; writing by Michael Holden and Stephen Addison; editing by Guy Faulconbridge, Giles Elgood and Timothy Heritage)"	hughes: 0.33178973268668294; ronan: 0.2211931551244553; pron: 0.21881597240591602; police: 0.17873235074752433; ronan_hughes: 0.16589486634334147; friday: 0.15920768937613025; ireland: 0.15403805183234603; say: 0.15397887224912585; container: 0.14382232686886753; christopher: 0.1344535736081415
tag:reuters.com,2019:newsml_L8N27H2WN	"* Thirty-nine bodies were found in a truck on Oct.23 * Alleged truck driver has been charged over the deaths * Police now believe all victims were Vietnamese (Adds Essex police believe all victims were Vietnamese) By Amanda Ferguson BELFAST, Nov 1 (Reuters) - A second man was charged with manslaughter over the deaths of 39 people found in the back of a truck near London, British police said on Friday, as they confirmed they now believe all the victims were Vietnamese. In Vietnam, police said they had detained two people. The discovery of the bodies in a container on an industrial estate has shone a spotlight on the illicit trade that sends the poor of Asia, Africa and the Middle East on perilous journeys to the West. The alleged truck driver has already been charged over the deaths, and on Friday detectives said Eamon Harrison, 23, from Northern Ireland, was also accused of 39 counts of manslaughter as well as human trafficking and immigration offences. Harrison appeared at Dublin's High Court at the start of proceedings to extradite him from Ireland to Britain. He was remanded in custody until Nov. 11, a court spokesman said. The bodies were found in the early hours of Oct. 23 after the container arrived in Britain from Zeebrugge in Belgium. The container was picked up at Purfleet dock in Essex, east of London, by a truck allegedly driven by Maurice Robinson, 25, from Northern Ireland. The victims were found not long afterwards. Police have not confirmed the exact cause of their deaths. They initially said the victims were thought to be Chinese, but on Friday evening they said they were now all believed to Vietnamese. ""We are in direct contact with a number of families in Vietnam and the UK, and we believe we have identified families for some of the victims,"" Essex police Assistant Chief Constable Tim Smith said on Twitter.  ARRESTS IN VIETNAM Vietnamese police said they had arrested two people and summoned others for questioning on Friday after opening a criminal investigation into suspected human trafficking. British police also appealed on Friday to Ronan Hughes, 40, and his brother Christopher, 34, from Armagh in Northern Ireland, who they said were crucial to their inquiries. They are wanted on suspicion of manslaughter and human trafficking. Daniel Stoten, the officer leading the investigation, said police had spoken by telephone to Ronan Hughes recently but needed to question the brothers in person. ""Today I want to make a direct appeal. Ronan and Christopher, hand yourselves in,"" Detective Chief Inspector Stoten said. Lawyers for Global Trailer Rentals, the owner of the trailer, have said Ronan Hughes signed the papers to rent the container, giving an address matching the haulier, C Hughes Transport. Christopher Hughes is listed as a director of C Hughes Logistics Ltd, based in Armagh. (Additional reporting by Conor Humphries and Graham Fahy in Dublin; writing by Michael Holden and Stephen Addison; editing by Guy Faulconbridge, Giles Elgood and Timothy Heritage)"	hughes: 0.3062067213141889; police: 0.21207985295301943; ronan: 0.20413781420945928; pron: 0.20194392677263479; vietnamese: 0.17233558965092022; ronan_hughes: 0.15310336065709446; victim: 0.1476955403060671; friday: 0.14693180580698953; truck: 0.14281633743395442; ireland: 0.14216077883805153
tag:reuters.com,2019:newsml_L8N27H0YP	"* Hezbollah urges forming new cabinet quickly * Massive protests pushed PM Hariri to resign * Queues build at banks, no panic after two-week closure * Customers encounter curbs on dollar transfers, withdrawals * Lebanese pound strengthens against dollar on black market (Adds analyst, details, reinstates earlier reporting on banks) By Tom Perry and Ellen Francis BEIRUT, Nov 1 (Reuters) - The powerful Lebanese Hezbollah group said on Friday a new government must listen to the demands that fuelled protests against the country's rulers and led Saad al-Hariri to quit as prime minister this week. The unprecedented, nationwide protests that erupted on Oct. 17 tipped Lebanon into political turmoil as it grapples with the worst economic crisis since the 1975-90 civil war. Lebanese banks reopened for the first time in two weeks on Friday, with dozens of people waiting at some branches. Customers encountered new curbs on transfers abroad and withdrawals from U.S. dollar accounts, though there were no formal capital controls, bankers and customers said. The Lebanese pound strengthened against the dollar on a parallel market that has emerged in recent months, three dealers said. Hariri, an ally of the West, quit on Tuesday after saying he had failed to resolve the crisis unleashed by the protests against a ruling elite accused of rampant corruption and steering Lebanon to economic collapse. The Iranian-backed Hezbollah, a political adversary of Hariri, has opposed his decision, saying it would waste time needed to enact reforms that are urgently needed to plug gaping holes in the state finances. ""A new government must be formed as soon as possible ... and the new government must listen to the demands of the people who took to the streets,"" Hezbollah leader Sayyed Hassan Nasrallah said in a televised address. ""There must be serious work because time is tight and so is people's patience,"" he said, adding that the government's goal must be to restore confidence. After warning last week against a power vacuum that could lead to chaos and even civil war, Nasrallah said on Friday the ""patience and awareness"" of the Lebanese had averted such scenarios.  FOREIGN FOES Supporters of Hezbollah and its Shi'ite ally Amal attacked and destroyed a protest camp in central Beirut on Tuesday, days after Nasrallah had suggested that foreign foes were exploiting the protests. President Michel Aoun, a political ally of Hezbollah, has yet to say when he will begin consultations with MPs to pick a new prime minister. Hariri's government continues in a caretaker capacity in the meantime. A Maronite Christian, Aoun signalled support for a new government of technocrats in a speech on Thursday, which would satisfy another of the protesters' demands. Nadim Houry, executive director of the Arab Reform Initiative, said Nasrallah's speech was less accusatory than the last one and indicated a deescalation. Taken together with Aoun's speech, it appeared to suggest a change of course by Hezbollah and its Christian ally. ""There is a direction that says we are going to present ourselves as listening to popular demands,"" he said. ""Are they going to truly support what they are saying - a government that can get to work with credibility on the street?"" Lebanon's economy has been hit by years of regional turmoil and a slowdown in capital flows to the country that has put its foreign currency reserves under pressure. Banks told customers they could only transfer funds abroad in particular circumstances such repaying loans, education, health, family support or commercial commitments. An hour after doors opened, dozens people of people were waiting at some banks in Beirut and other cities, Reuters witnesses said. At others, fewer were waiting. The central bank had promised not to impose capital controls when banks re-opened, measures that could hamper the currency inflows and investment that Lebanon badly needs. Asked about steps being taken by banks, Salim Sfeir, head of the Association of Banks in Lebanon, said: ""I would not call it restrictions but rather efforts by the banks to accommodate all customers, given the pressure resulting from closing for two weeks."" ""We stand ready to adjust any measure taken, once the situation in the country is back to normal"", he told Reuters. (Reporting by Tom Perry, Eric Knect, Imad Creidi, Ellen Francis, Samia Nakhoul, Issam Abdallah; writing by Tom Perry; editing by Christian Schmollinger, Larry King and Giles Elgood)"	hezbollah: 0.2862644370375334; hariri: 0.2414804896614048; bank: 0.21835201079561561; nasrallah: 0.19318439172912383; lebanese: 0.18473406346715315; pron: 0.17980185866907442; lebanon: 0.1774379452222642; protest: 0.17271352032294604; aoun: 0.14488829379684284; say: 0.14234060709541146
tag:reuters.com,2019:newsml_L3N27H2XH	(Corrects to Bangkok from Moscow in NOV 3 item.) Nov 1 (Reuters) - For other diaries, please see:  Political and General News Top Economic Events Emerging Markets Economic Events Government Debt Auctions U.S. Federal Reserve Today in Washington ---------------------------------------------------------------- This Diary is filed daily. ** Indicates new events ---------------------------------------------------------------- FRIDAY, NOVEMBER 1 ** NEW DELHI - U.S. Treasury Secretary Steven Mnuchin will meet Indian finance minister Nirmala Sitharaman on Friday, as part of a regional tour that began in the Middle East. ** ISTANBUL, Turkey - Turkish President Tayyip Erdogan meets U.N. Secretary-General Antonio Guterres in Istanbul - 0730 GMT. ATHENS - Israel's Foreign Minister Israel Katz will meet his Greek counterpart in Athens (Final Day). TOKYO - New Zealand's Foreign Minister Winston Peters visits Japan (to Nov 2). BEIJING - Ecuador's Foreign Minister Jose Valencia will pay an official visit to China (to Nov 4). NEW DELHI - Germany's Chancellor Angela Merkel embarks on a three-day visit to India (to Nov. 02). BANGKOK – ASEAN Senior Officials' Meeting (to Nov. 4). BANGKOK - Leaders from Southeast and East Asian nations gather in Bangkok to attend the 35th ASEAN Summit and related summits before handing over the chairmanship to Vietnam (to Nov. 4). NEW DELHI - German Chancellor Angela Merkel meets Indian Prime Minister Narendra Modi for talks to strengthen bilateral ties and bolster strategic and economic cooperation. The two leaders will oversee signing of agreements and give a joint statement. - 0600 GMT TASHKENT/BANGKOK - China's Premier Li Keqiang will pay official visits to Uzbekistan and Thailand (to Nov. 5) ATHENS - Chinese President Xi Jinping to visit Greece. - - - - - - - - - SATURDAY, NOVEMBER 2 ** BANGKOK - ASEAN foreign ministers attend the signing ceremony of the instrument of accession to the Treaty of Amity and Cooperation in Southeast Asia (TAC), a regional peace treaty, by applicants. - 0630 GMT ** BANGKOK – Prime Minister of India Narendra Modi will visit Bangkok (to Nov 4). NEW DELHI - German Chancellor Angela Merkel addresses business leaders at German trade chambers in New Delhi - 0330 GMT. - - - - - - - - - SUNDAY, NOVEMBER 3 ** BANGKOK – Russian Prime Minister Dmitry Medvedev will participate in the East Asian Summit and ASEAN gatherings in Bangkok (to Nov 04). BEIJING –  Prime Minister of Jamaica Andrew Holness to visit China (to Nov.9). BANGKOK - ASEAN leaders attend opening ceremony of 35th regional summit - 0200 GMT. BANGKOK - ASEAN leaders hold summit with India's Prime Minister Narendra Modi - 0415 GMT. BEIJING - President of France Emmanuel Macron visits China (to Nov. 7) - - - - - - - - - MONDAY, NOVEMBER 4 ** VILNIUS, Lithuania - Norway's Prime Minister Solberg is in Lithuania, press conference with the Lithuanian counterpart Saulius Skvernelis - 1215 GMT. ** DELHI – Finland Foreign Minister Pekka Haavisto to pay a four-day visit to India (to Nov 7). BEIJING – President of France Emmanuel Macron to visit China and attend the opening ceremony of the second China International Import Expo (to Nov. 6) BUDAPEST - German Foreign Minister Heiko Maas to visit Budapest and meet his Hungarian counterpart Peter Szijjarto. BANGKOK - ASEAN leaders hold summit with Prime Minister of Japan Shinzo Abe - 1000 GMT. BANGKOK - ASEAN leaders hold summit with China's Premier Li Keqiang, South Korea's President Moon Jae-in and Japan's Prime Minister Shinzo Abe - 0130 GMT. BANGKOK - ASEAN leaders hold the 11th Mekong-Japan Summit working dinner with Japan's Prime Minister Shinzo Abe - 1330 GMT. GENEVA - OECD Economic Surveys: Switzerland 2019 - - - - - - - - - TUESDAY, NOVEMBER 5 ** SHANGHAI, China (PRC) - French President Emmanuel Macron visits Shanghai Fair. LISBON, Portugal - The European Commission Brexit chief negotiator Michel Barnier speaks at web summit in Lisbon on Europe after Brexit. - 1030 GMT - - - - - - - - - WEDNESDAY, NOVEMBER 6 ** BRUSSELS - The European Union finance commissioner Valdis Dombrovskis speaks at an event in Brussels on capital markets and climate financing. - 1700 GMT GLOBAL - International day for preventing the exploitation of the environment in war and armed conflict. - - - - - - - - - THURSDAY, NOVEMBER 7 BRUSSELS - Euro zone finance ministers meet for monthly talks - 1400 GMT. TIRANA, Albania - 2019 OECD/IOPS Global Forum on Private Pensions (to Nov. 8) BRUSSELS – Eurogroup meeting. BUDAPEST - Turkish President Recep Tayyip Erdogan visits Hungary. - - - - - - - - - FRIDAY, NOVEMBER 8 BERLIN - EU President Ursula von der Leyen to give a speech on The Situation in Europe, with opening remarks by German Chancellor Angela Merkel. - 1800 GMT BERLIN - U.S. Secretary of State Mike Pompeo speaks at an event commemorating the 30th anniversary of the fall of the Berlin Wall. - 0945 GMT BRUSSELS - EU Economic and Financial Affairs Council meeting. - - - - - - - - - MONDAY, NOVEMBER 11 ** PASSAU, Germany - German Finance Minister Olaf Scholz speaks at an event organised by a regional newspaper in the Bavarian town of Passau. - 1700 GMT. BRUSSELS – EU Foreign Affairs Council meeting. SANTIAGO, Chile - Heads of states from participants in the year-long Asia-Pacific Economic Cooperation (APEC) forum gather for final meeting (to Nov. 17). - - - - - - - - - TUESDAY, NOVEMBER 12 ** BRASILIA, Brazil - The BRICS group of leading emerging economies Brazil, Russia, India, China and South Africa holds it annual summit in Brasilia. GLOBAL - World pneumonia day. BRUSSELS - EU Foreign Affairs Council (Defence) meeting. - - - - - - - - - WEDNESDAY, NOVEMBER 13 NEW DELHI - UK's Prince Charles to visit India (to Nov 14). VIENNA - OECD Economic Surveys: Austria 2019. YANGON, Myanmar – 9th Anniversary of release of Myanmar's Detained Opposition Leader, Aung San Suu Kyi, from house arrest. WASHINGTON D.C. - President of Turkey Recep Tayyip Erdogan to pay an official visit to Washington and meet with U.S. President Donald Trump. - - - - - - - - - THURSDAY, NOVEMBER 14 HARARE - Finance Minister of Zimbabwe Mthuli Ncube presents 2019 national budget in parliament. LOBAL - World diabetes day. - - - - - - - - - FRIDAY, NOVEMBER 15 HAVANA - Spain's King Felipe and Queen Letizia begin their first state visit to Cuba where they will attend the celebrations of Havana's 500 years of founding. BRUSSELS - EU Economic and Financial Affairs Council (Budget) meeting. SANTIAGO - China's President Xi Jinping in an official visit to Chile meets Chile's President Sebastian Pinera. - - - - - - - - - SATURDAY, NOVEMBER 16 GLOBAL - International day for tolerance. - - - - - - - - - SUNDAY, NOVEMBER 17 GLOBAL - World prematurity day. GLOBAL - World day of remembrance for road traffic victims. WELLINGTON - Prince of Wales and Duchess of Cornwall visit New Zealand (to Nov. 23). BELARUS - Belarusian Chamber of Representatives election. SRI LANKA -Referendum election. - - - - - - - - - MONDAY, NOVEMBER 18 VUKOVAR, Croatia – 28th anniversary of Vukovar massacre. On Nov. 18, 1991, Serb militia and Yugoslav army troops who refused to accept Croatia's Independence captured the once prosperous, ethnically mixed town on the banks of the Danube, after reducing it to rubble in a brutal three-month siege. - - - - - - - - - TUESDAY, NOVEMBER 19 BRUSSELS – EU General Affairs Council meeting. - - - - - - - - - WEDNESDAY, NOVEMBER 20 BANGKOK –  Pope Francis will visit Thailand (to Nov. 23) - - - - - - - - - THURSDAY, NOVEMBER 21 GLOBAL - World Chronic Obstructive Pulmonary Disease Day. BANGKOK - Pope Francis meets Thai king Vajiralongkorn during his official visit to Thailand. BRUSSELS - EU Foreign Affairs Council (Trade) meeting. BANGKOK - Pope Francis attends welcome ceremony by Thai Prime Minister Prayuth Chan-ocha and will give a speech on the second day of his visit. - - - - - - - - - FRIDAY, NOVEMBER 22 NAGOYA, Japan - Japan hosts a two-day meeting of G20 Foreign Ministers in Nagoya (to Nov. 23). - - - - - - - - - SATURDAY, NOVEMBER 23 TOKYO – Pope Francis will visit Japan, during which time he will go to Hiroshima and Nagasaki as well as Tokyo (to Nov. 26). - - - - - - - - - SUNDAY, NOVEMBER 24 TOKYO - Pope Francis departs for Nagasaki to speak at the Atomic Bomb Hypocenter Park and hold a Holy Mass - 2200 GMT. TOKYO - Pope Francis arrives in Tokyo from Hiroshima ahead of his Tokyo agenda, including meeting Emperor Naruhito and Prime Minister Shinzo Abe - 1310 GMT. SWITZERLAND – Referendum election. - - - - - - - - - MONDAY, NOVEMBER 25 GLOBAL - International day for the elimination of violence against women. TOKYO - Pope Francis to meet Japanese Emperor Naruhito TOKYO - Pope Francis meets Japan's Prime Minister Shinzo Abe, authorities, and the Diplomatic Corps at the prime minister's office. BRUSSELS - EU Foreign Affairs Council (Development) meeting. - - - - - - - - - TUESDAY, NOVEMBER 26 MUMBAI, India - 11th anniversary of a series of devastating attacks on the Indian city by militants. The attacks, which began on Nov. 26, 2008 lasted nearly three days and left 174 people dead, including nine gunmen. - - - - - - - - - WEDNESDAY, NOVEMBER 27 STRASBOURG, France - President of the EU Commission Ursula von der Leyen gives a speech in Strasbourg, ahead of the crucial vote from EU lawmakers on her college of commissioners - 0800 GMT. NAMIBIA – Referendum election. NAMIBIA - Namibian National Assembly election. - - - - - - - - - TUESDAY, DECEMBER 3 LONDON - NATO Heads of State and Government will meet in London (to Dec. 4). - - - - - - - - -  THURSDAY, DECEMBER 5 BRATISLAVA - OSCE holds Council of Ministers meeting in Bratislava (to Dec 6). VIENNA - 177th Meeting of the OPEC Conference - - - - - - - - - FRIDAY, DECEMBER 6 VIENNA - 7th OPEC and non-OPEC Ministerial Meeting - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - NOTE: The inclusion of diary items does not necessarily mean that Reuters will file a story based on the event. For Technical Issues Please contact Thomson Reuters Customer Support (TRCS) at https://customers.reuters.com/kccontactus/telephone.aspx	november: 0.4191358004349658; gmt: 0.2605088406149463; bangkok: 0.21988361125124106; _november: 0.17053884604646077; minister: 0.16942676033639514; visit: 0.13427756256288229; meeting: 0.12744142926333535; asean: 0.12557101076575913; summit: 0.12533983179360247; nov: 0.11945844285925034
tag:reuters.com,2019:newsml_MT1ALTL9N26H01T2	NORTHERN IRISH MAN IS CHARGED WITH MANSLAUGHTER AND HUMAN TRAFFICKING OFFENCES  IN RELATION TO 39 DEATHS IN UK TRUCK -  POLICE	charge_manslaughter: 0.3844451725284849; offence: 0.35453672172255296; relation: 0.3372785203776368; irish: 0.3372785203776368; manslaughter: 0.2898048271030938; uk: 0.25902491522942084; 39: 0.2396247230825798; truck: 0.23291298382485165; charge: 0.23131134919717822; man: 0.21021564615707924
tag:reuters.com,2019:newsml_L3N27E1H0	Nov 1 (Reuters) - Police in Vietnam arrested two people and summoned others for questioning on Friday on suspicion of involvement in the deaths of 39 people whose bodies were found in the back of a truck in Britain last week, authorities said. After 10 Vietnamese families reported their relatives missing, fearing they were among the 39 victims, Ha Tinh regional police launched a criminal investigation into suspected human trafficking, the statement posted on their website said. Two people have been arrested and others brought in for questioning, it said. The investigation would also look at similar incidents that occurred over the last five years. On Oct. 26, Vietnamese Prime Minister Nguyen Xuan Phuc ordered an investigation into alleged human trafficking activities after British police said at least some of the truck dead may have come from the Southeast Asian country. (Reporting by Phuong Nguyen Editing by Mark Heinrich)	investigation: 0.2350692743923685; nguyen: 0.20300544353575262; police: 0.18849809222379538; vietnamese: 0.18380772762224132; 39: 0.1567128495949123; october_26: 0.15234524593070828; truck: 0.152323420276911; statement_post: 0.1458593195980023; arrest: 0.13586463374321672; nguyen_xuan: 0.12877461790956365
tag:reuters.com,2019:newsml_L9N26H01Q	"LONDON, Nov 1 (Reuters) - British police, investigating deaths of 39 people found dead in the back of a truck near London last week, appealed to two  brothers from Northern Ireland to hand themselves in to detectives. Detective Chief Inspector Daniel Stoten said Ronan Hughes, 40, and his brother Christopher, 39, were wanted on suspicion of manslaughter and human trafficking over the deaths of the 31 men and eight women discovered in the container in Grays. ""Ronan and Christopher, hand yourselves into the Police Service of Northern Ireland,"" he said. (Reporting by Michael Holden; editing by Guy Faulconbridge)"	ronan: 0.28349554925871223; detective: 0.24152282985029064; christopher: 0.22976593875393708; brother: 0.21697036294307287; ireland: 0.19742519648215295; hand: 0.18779321934551546; 39: 0.16324075243829772; stoten: 0.1586912154326221; brother_northern: 0.14641498197901326; brother_christopher: 0.14174777462935612
tag:reuters.com,2019:newsml_L3N27G4K4	BANGKOK, Nov 1 (Reuters) - A Thai court of appeal has increased prison time for a former army general and more than fifty others convicted in the country's largest human trafficking trial. The case, which involved 103 defendants, began in 2015 after a crackdown following the gruesome discovery of dozens of shallow graves in jungle camps near the Thai-Malaysian border. Traffickers had been using the camps to hold mostly Rohingya Muslim migrants hostage until their relatives were able to pay for their release, authorities said. In 2017, a criminal court sentenced 62 defendants on 13 different charges, including trafficking in persons, smuggling illegal migrants into the country and organised crime. The appeals court late on Thursday dismissed convictions for two defendants while increasing the jail terms for 55 others with additional charges of smuggling illegal migrants. Some of these were also given additional prison time for multiple human trafficking charges. Those receiving longer sentences include former army Lieutenant General Manas Kongpan, who saw his 27-year prison term for trafficking and corruption increased to 82 years. Banjong Pongphol, an ex-mayor of Padang Besar in Songkhla province, saw his prison sentence increased to 79 years from 78. The court also upheld the harshest sentence of 94 years for Soe Naing, a Rohingya man who the authorities said is a key figure behind the trafficking network. He was found guilty of assault causing death and human trafficking. The state prosecutor or the defendants can still lodge an appeal against the verdict within 30 days. A further appeal would push the case to the Supreme Court, the final court in the Thai justice system. Myanmar regards Rohingya as illegal migrants from the Indian subcontinent and has confined tens of thousands to sprawling camps in Rakhine state since violence swept the area in 2012. The unrest prompted tens of thousands of Rohingya to flee Myanmar by sea. This exodus by boat peaked in 2015, when an estimated 25,000 people crossed the Andaman Sea for Thailand, Malaysia and Indonesia, many drowning as unsafe and overloaded boats capsized. When violence broke out again in Rakhine state in 2017, more than 700,000 Rohingya crossed into Bangladesh fleeing an army crackdown, according to U.N. agencies. (Reporting by Panu Wongcha-um and Panarat Thepgumpanat; Editing by Tom Hogue)	rohingya: 0.33517960447587963; defendant: 0.32906063438880157; court: 0.21070147038342904; appeal: 0.20422875951814234; sentence: 0.17708380085753486; prison: 0.17708380085753486; migrant: 0.16727317034070788; rakhine: 0.16453031719440078; thai: 0.14345628754301112; increase: 0.13776228119746645
