ICBC	China
JPMorgan Chase	United States
China Construction Bank	China
Agricultural Bank of China	China
Bank of America	United States
Apple	United States
Ping An Insurance Group	China
Bank of China	China
Royal Dutch Shell	Netherlands
Wells Fargo	United States
ExxonMobil	United States
AT&T	United States
Samsung Electronics	South Korea
Citigroup	United States
Toyota Motor	Japan
Microsoft	United States
Alphabet	United States
Volkswagen Group	Germany
Chevron	United States
Verizon Communications	United States
HSBC Holdings	United Kingdom
PetroChina	China
Allianz	Germany
BP	United Kingdom
Total	France
Berkshire Hathaway	United States
China Mobile	Hong Kong
Amazon	United States
Walmart	United States
Santander	Spain
China Merchants Bank	China
UnitedHealth Group	United States
Comcast	United States
BNP Paribas	France
Sinopec	China
Softbank	Japan
Daimler	Germany
Johnson & Johnson	United States
Bank of Communications	China
Gazprom	Russia
RBC	Canada
Nestlé	Switzerland
Mitsubishi UFJ Financial	Japan
Intel	United States
Goldman Sachs Group	United States
TD Bank Group	Canada
Sberbank	Russia
Morgan Stanley	United States
Boeing	United States
Petrobras	Brazil
Nippon Telegraph & Tel	Japan
Rosneft	Russia
Procter & Gamble	United States
Pfizer	United States
Industrial Bank	China
General Motors	United States
BMW Group	Germany
Itaú Unibanco Holding	Brazil
Alibaba	China
IBM	United States
Novartis	Switzerland
Postal Savings Bank Of China (PSBC)	China
Facebook	United States
Siemens	Germany
Shanghai Pudong Development	China
Japan Post Holdings	Japan
Sumitomo Mitsui Financial	Japan
Banco Bradesco	Brazil
Anheuser-Busch InBev	Belgium
Walt Disney	United States
Reliance Industries	India
CITIC	Hong Kong
Sony	Japan
Cisco Systems	United States
Tencent Holdings	China
Honda Motor	Japan
Enel	Italy
United Technologies	United States
Commonwealth Bank	Australia
China State Construction Engineering	China
DowDuPont	United States
Equinor	Norway
American Express	United States
MetLife	United States
AXA Group	France
PepsiCo	United States
Bank of Nova Scotia	Canada
Roche Holding	Switzerland
ING Group	Netherlands
Lloyds Banking Group	United Kingdom
Eni	Italy
Oracle	United States
China Citic Bank	China
China Evergrande Group	China
UBS	Switzerland
AIRBUS	Netherlands
LukOil	Russia
Prudential Financial	United States
BASF	Germany
SAIC Motor	China
Westpac Banking Group	Australia
British American Tobacco	United Kingdom
US Bancorp	United States
Credit Agricole	France
China Life Insurance	China
Unilever	Netherlands
Glencore International	Switzerland
Mitsubishi	Japan
BHP Group	Australia
Ford Motor	United States
Rio Tinto	United Kingdom
Prudential	United Kingdom
AIA Group	Hong Kong
China Minsheng Banking	China
Sanofi	France
Deutsche Telekom	Germany
Zurich Insurance Group	Switzerland
